,내용,등록일
41,s8 4년 넘게 쓰다가 드디어 맛이 가버려서 주말에 대리점 가서 바꿨습니다원래 폰에 큰 관심이 없어서 발열이나 흑화이슈같은 거 몰랐고 대리점에서 할인율도 높다하고 최신폰이니 막연히 좋겠거니 해서 골랐어요21기본으로 할까 하다가 저빼고 가족 모두 노트유저라 큰게 좋아보인다고 해서 울트라로 마음이 기울었구요 손목을 아껴야하는 상황이라서 무게가 좀 걱정됐지만 가족이 사주겠다해서 고맙게 받았죠나중에 알고보니 울트라가 이래저래 더 좋은 부분이 많던데 대리점에선 차이가 카메라밖에 없다고 자꾸 강조해서 기본 샀으면 후회했을 거 같습니다 일단 21시리즈 중에서 울트라로 고른 건 만족합니다디자인이나 기능 부분은 정말 만족스러워요 8쓰다가 이거 쓰니까 신세계가 따로 없습니다 짧게 써서 그런건지 모르겠지만 무게도 크게 불편할 정도는 아니었어요 누워서 폰할때 조금 더 무리가 가는 정도그런데 발열이첫날 개통도 안했을때 게임 한판 돌렸는데 무슨 고사양 3D 게임도 아니고 퍼즐 게임 10분했나 뜨거워요항상 s시리즈만 써왔는데 그 전에는 거의 못 느껴봤던 온도였습니다산지 하루된 폰이 그래서 놀라서 찾아보다가 이 카페까지 가입하게 됐습니다저말고도 겪으신 분들이 많더라고요 벤치마크나 온도체크도 처음으로 해봤습니다 배터리 학습기간이라 그런지 상당히 안 좋게 나왔고 온도도 높을땐  40 중반까지 올라갑니다 환경요인이라고 대부분 뜨고 사용환경이 좀 덥긴 해서 대체로 32도 언저리인데 이게 영향을 많이 미칠까요 근데 같은 환경에서 8은 안그래요폰 한 번 사면 오래 쓰는데이대로라면 금방 바꾸게 될 것 같습니다업데이트 하다보면 개선이 되겠죠나머지는 정말 마음에 드는데 발열이 계속 이 상태면 실망할 것 같습니다삼성에서 갈아탈만한 회사가 있을까요 애플은 디자인이 취향이 아니라서 고려해 본 적이 없는데 앞으로 어떻게 해야할지 고민이 됩니다,2021.06.11. 00:24
42,21 플러스 초기 출시때 구입해서 쓰다가 오늘 갑자기 아침에 전원은 살아있는데 액정이 나가는 불량 증상이 나타나서 센터 방문했습니다기사님이 좀 보시더니 초기에 출시된 제품이 불량이 좀있어서 이런 증상 생기신분들 몇몇 있다네요방문하면 액정 새거로 교체배터리 일체형이라 배터리 까지 교체 필름 도 붙여서 나옵니다어떻게보면 1년좀 넘었는데 무상으로 싹다 교체하니 꿀이네요 ,2021.06.02. 11:54
43,2017년 V30을 구매하고 정말 만족하고 썻습니다옛날부터 lg폰 유저여서 다음에도 lg폰을 사용할 예정이였으나 lg플래그쉽 스마트폰 단종과 사업종료로약정이 다 끝나고2021년 처음으로 한번 아이폰이 써보고 싶어서아이폰으로 바꿧습니다그러나ios 특유의 폐쇄성으로 인해 여러모로 불편함을 겪었고 21세기에 인터넷 다운로드 및 노래다운하나 못하게 막음 파일관리 절대 불가능 공인인증서 연동안됨 등등휴대폰도 어떻게보면 작은 컴퓨터인데 인터넷에서 다운로드 불가능하고 노래도 자기가 마음대로 다운을 못한다정말 어이가 없었습니다 원래 ios가 이런가 하구요그래서 2주동안 사용하면서 결국 못참고 새로나온 갤럭시s21 울트라로 바꿨습니다안드로이드 운영체제가 확실히 윈도우 운영체제와 거의 동일할 정도로 유사한 점이 많고 확실히 개방적이라 편했습니다그러나그 기쁨도 잠시 저에게 다가온건 핫팩모드와 엄청난 쓰로틀링 이였습니다120만원이라는 금액의 거금을 주고 구매한 휴대폰인데게임도 심심치 않게 하는 저에게 있어서는 정말 최악이엿습니다차안에서 휴대폰으로 네비게이션과 음악재생을 하고 있었습니다그러자 갑자기 터질듯한 온도와 이로 인해 손이 화상이 입을정도로 사용이 불가능했고네비게이션은 온도상승으로 인해 강제종료 되었습니다저는 어이가 없었습니다 고작 네비게이션과 음악재생만 했을뿐인데 온도상승으로 휴대폰 사용이 불가능했습니다일상생활하면서 사용하는 사소한 어플리케이션을 쓰는데 핫팩모드 작동으로 휴대폰 사용을 못하게 했습니다어이가 없었습니다 그리고 정말 화가났습니다 이게 휴대폰인가 하구요저는 가끔씩 게임도 즐겨하는 편입니다 최신폰이라 게임은 당연히 잘돌아갈거라 믿었습니다그러나 리그오브레전드 10분 정도 플레이후핫팩모드는 기본이고 쓰로틀링이 걸려서프레임이 30120을 껑충껑충 왓다가 했습니다플레이가 거의 불가능했습니다저는 정말 화가낫지만 돈이 돈인지라 계속 참고 지금까지 쭉 사용하였습니다그리고 시간이 흘러 6월1일에 단말 발열 개선이라는 소프트웨어 업데이트를 삼성에서 해줬습니다아 드디어 해결이 되는구나 저는 이때동안 겪엇던 일들이 이제서야 조금 해결이 되는것 같아서 다행이다 라는 마음에 바로 설치를 하였습니다그러나전혀 해결되지 않았습니다여전히 온도가 너무 높아 일상적으로 사용이 제대로 불가능 했습니다게임을 테스트 해보았습니다리그오브레전드를 플레이하는데 업데이트 전보다 더욱 심하게 쓰로틀링이 걸렸고오히려 더 렉이 심해졌습니다원래 프레임이 30120 에서 왔다갔다 했던것이10분후 30프레임 이하로 고정으로 게임자체가 아예 불가능해졌습니다진짜 저는 너무 화가났습니다 삼성에 대한 없던 원망까지 쌓였습니다저의 120만원은 어디갔습니까 이게 정말 120만원의 가치를 하는 휴대폰이라고 해도 되는겁니까s21 업데이트로 발열을 고치고 쓰로틀링 걸리는거 해결되지 않는이상 저는 언젠가 이휴대폰 생명이 없어질지도 모르겠습니다그리고 이후에 출시되는 스마트폰도 이런상황이 계속 생긴다면삼성에 크게 데여서아마도 저는 더이상 삼성휴대폰 사용안할것 같습니다고발당하지 않은게 다행일듯 합니다삼성은 제발 휴대폰좀 제대로 만들어주세요 이러다가 중국폰보다 못한수준이 될지도 모릅니다,2021.05.31. 00:26
44,5월 마지막주쯤에 자급제로 구매하였습니다처음에 쓰다가 발열은 그럭저럭 버틸만 했는데 여름 계절이 오니까 폰이 뜨끈하더라고요발열 없으면 좋은 폰인데 아쉽네요배터리는 생각보다 오래갔습니다디자인은 마음에 드네요밑에 사진은 3개 모아서 찍은 사진입니다 ,2021.05.27. 18:41
45, 완전사용전 27도구요 성능은 이정도구요 1차후바로측정후 6도가올랐구요 점수변화입니다 2차측정후바로측정한뒤36도까지올라갔구요 다시바로 긱벤치로측정해본결과팍떨어지는 점수죠 대신온도는 02도만올랐습니다3번측정해보니 열이 한번나기시작하면 완전식지않는이상 성능은 최상으로돌아오지않은듯합니다,2021.05.26. 10:06
46,아이폰 xs 256에서 넘어왔구요디자인은 너무 예쁜데 발열문제가 많길래정말 많이 고민하고 샀어요담달에 나오는 플립은 너무 제 스타일이 아니었거든요결론적으로 왜 고민했나 싶을정도로 넘 만족중입니다고민하시는 분들 사세요 제가 뽑기운이 좋았는지는모르겠지만 발열도 괜찮구요 정말 좋아요,2021.05.22. 16:07
47,21울트라를 사용중이고 기계값2년약정으로 쓰고있습니다혹시 이걸 중고로 판매한다면 유심빼고초기화시켜서 기계만판매하나요 그럼 할부승계같은건 어떻게 하는건가요 정말 저에겐 실용적이지못해서 판매하고싶네요,2021.05.21. 08:53
48,갤럭시클럽 호구계약끝나고 했네요폰자체가싫진않었는데  호구계약 날짜늘수록손해라서울며 겨자먹기로바꿨네요그리고 잔상보인데서 액정값255000원 물고바꿨습니다,2021.05.20. 22:11
49,전 원래 삼성폰만 써온 사람이고후회한적 한번 없던 사람이라이번에도 집 인터넷 바꾸면서 폰도 바꿨습니다많이 알아보지 않았죠원래 노트 좋아하는데전 모델  s9를 잘 써와서이번에도 s시리즈도 사야겠다 생각하고울트라랑 고민하다 그냥 그립감이 좋은 21로 했습니다근데 가벼워도 넘 가볍네요전 무게감있는 폰을 좋아하는 사람이었더라구요만질때마다 불안한 느낌이 들어요터치랑 반응속도 해상도는 정말 좋은거 같아요이쁘구요근데정말발열감과 충전 속도는 짜증이 납니다처음 켤때부터 발열감과영통 하나했는데 뜨거워지고충전할때랑 개통하고 이거저것 하다보니 금방 오르더라구요아직 전모델 폰이 있어서 같은 상황을 비교해보니 너무 뜨거워요 무섭습니다  다른 후기들 중 게임안하면 괜찮다길래전 게임을 안해서 어느정도는 괜찮을줄 알았어요충전도 전모델에 비해 느리고금방 떨어지구요원래 폰 쓰면 3년은 기본으로 정말 깨끗하게 쓰는 사람입니다  근데 이건 2년만 별탈없이 쓰길 바라게 되더라구요첨으로 폰사고 후회했어요담부터 폰살때 미리공부하라는 교훈을 얻었습니다내 삼전 주식 이 땡볕에 내비로도 사용해야되는데걱정입니다,2021.05.18. 23:13
50,발열문제로 많아서 저도 9플에서 21플로 넘어온지 2틀만에 한번 실험해보자 하고똑같이 동영상 켜놓고 같은시간 동안 9플36도 21플 40도로 가네여  그냥 그러려니 써야겠어여 그게 정신건강에 좋을듯하네여,2021.05.18. 15:46
51,집에선 357도 유지했는데밖에 빛 받으니 인터넷사용시 으악 이네요  너무뜨겁다 ,2021.05.02. 21:19
52,갤s21 기본에서 큰 화면 쓰고싶어 울트라 중고 구매 후 넘어 왔습니다기본적으로 하드하게 쓰는 스타일은 아닙니다배터리도 나름 만족하고 s21보다 더 빠릿하고 부드러운것 같아 만족입니다발열 부분에서도 휴대폰이 터질것같다 란 느낌보다는 따듯하네 정도무게가 확실히 기본 모델보다 많이 나가지만 평소에 단련된 팔근육때문인지 부담은 안됩니다,2021.04.28. 18:51
53,초반에 쓸때는 발열 못느꼈는데최근들어 쉽게 발열이 느껴지네요 이 때문인지 조금씩 버벅거려요이러다 폰 터지는건 아닌지디자인 편의성 사이즈만 보고 아이폰에서 넘어왔는데발열참어찌 안되나,2021.04.28. 11:07
54,S10 5G에서 S21 울트라로기변한지 일주일 정도 됐네요삼성디지털프라자에서9만 원 요금제 6개월 유지 조건으로할부원금 601000원에 구매했습니다KT랑 삼디프랑 알아보는데KT는 9만 원 요금제 써도 877000원인데삼디프는 601000원에 준다해서고민 없이 바로 구매했네요노트 20 울트라랑 고민 좀 했는데QHD 120Hz 유무 때문에발열 이슈에도 S21 울트라를 선택했습니다현재 일주일 써본 결과제가 뽑기를 잘한 것인지는 모르겠지만걱정했던 것만큼의 발열은 없더라구요진짜 대낮에 대놓고 햇빛이 그대로 내리쬐는 곳에서오래 쓰는 정도만 아니면사실 기존 S10 5G하고의큰 발열 차이는 못 느끼고 있습니다게임을 안하는 것도 아니고리니지2M 오딘 같은 나름 고사양 게임도 좀 하고넷플릭스나 유튜브 등 영상도 오래 보고하는 데도 딱히논란이 날 만큼의 발열은 전혀 못 느끼고 있습니다여러분은 어떠신가요,2021.04.27. 17:59
55,사진게임일절안합니다그냥인터넷만 하는데 체감발열이 진짜 너무심합니다 정말심해도 너무심합니다근데 서비스센터가니 정상이랍니다발열이슈없냐니까 없답니다 꼭지돌뻔했습니다아이폰가는게 중요한게 아니라 이런대처를 보니까 안좋은마음을 먹게되네요,2021.04.26. 18:47
56, s21울트라 사용중입니다초기 일주일은 발열심했는데 지금은 무리없는 발열인듯합니다아 카메라사용할땐 한숨만 에휴,2021.04.24. 20:35
57,S21 팬텀블랙 사용한지 3개월정도 되었습니다항상 케이스 끼우고 잘 사용하다가 발열때문에 집에서는 케이스를 잠깐씩 빼두었는데 떨어뜨리거나 거친 표면위에 둔적도 없는데 테두리가 일자로 까였습니다 S21 시리즈의 문제는 발열만이 아닌거 같네요 서비스 센터에서 처리가 될런지 두통이 옵니다,2021.04.23. 19:10
58,a52 구매하려고 존버하다가 일본에는 출시하고 국내에는 반도체 수급 영향으로 출시 미뤄진다는 기사 보고 포기하고 s21플러스로 구매했습니다 이러니 저러니 해도 괘씸하긴 하더군요 이미 6월자 발열관련 패치가 배포 된 후에 구매하였기에 발열 관련하여는 충분히 인지를 하고 있었습니다 폰게임을 하지 않는 부분이 컸고 무엇보다 어떤 군인분이 s21플러스 실버를 들고 가시는데 너무 예뻐서 램이고 ap고 관심 없이 바로 무지성 구매 했습니다이전 g8을 사용했었는데 안팔리는 이유가 있더군요 s21플이 모든 면에서 더 만족스러웠습니다 굿락의 자유도를 맛보고 나니 g8을 서브폰으로도 못쓰겠어서 g8을 팔고 원래 팔려 했었던 s7을 서브폰으로 쓰려 합니다 s21시리즈를 구매하시는 모든 분들은 발열 관련하여 걱정을 하실거고 저 또한 그랬는데 오히려 저는 g8이 더 뜨거웠습니다 s21이 다른 폰들에 비해 유의적으로 더 뜨거운지 모르겠더군요 카페에서 잊을만 하면 벌어지는 너무 뜨겁다와 vs 난 괜찮은데의 소모적 전쟁이 왜 일어나는지도 알 것 같았습니다 물론 문제가 있는 폰이 맞고 그에 대한 삼성의 대응이 소비자들의 기대에 크게 못미친것 또한 맞습니다 하지만 저는 발열이 너무 정상적이서 정말 문제가 있는 수준의 발열이 있는 경우는 일부이고 이슈가 붉어지니 그다지 높은 온도가 아님에도 자기 폰을 뜨겁다고 생각하는거 아닐까 라고까지 생각했습니다하지만 어제 처음으로 겪어 봤습니다 밖에서 폰을하다가 주머니에 넣었는데 케이스를 꼈음에도 불구하고 손난로마냥 뜨겁더군요 이게 뭐지 하면서 폰을 꺼내보니 놀라울정도로 버벅였습니다 120주사율은 커녕 12주사율이 된 폰을 보니 카페에서 그렇게 s21에 분노하시던 분들이 말하던게 이거였구나 깨달았습니다 모든 앱을 종료하고 잠시 그냥 놔덨더니 다시 정상적으로 작동하긴 했습니다저에게는 여전히 만족도가 높은 폰이고 다시 돌아간다 해도 s21플 실버를 사겠지만 s21 발열 이슈는 그 정도와 발생 빈도에서 무시 할 수준은 아니라는 것을 구매를 생각하시는 분들은 고려하셔야합니다 이런 날씨에 야외에서 게임이라도 했다간 어마어마 할 듯 하네요,2021.04.23. 17:41
